,X.1,X,Month,Day,Year,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Summary,CrashStatus
1,1,1,9,17,1908,17:18,Virginia,Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,0,NA,Y
2,2,2,7,12,1912,6:30,New Jersey,Military - U.S. Navy,,Test flight,Dirigible,,,5,5,0,NA,Y
3,3,3,8,6,1913,,Canada,Private,-,,Curtiss seaplane,,,1,1,0,NA,Y
4,4,4,9,9,1913,18:30,Over the North Sea,Military - German Navy,,,Zeppelin L-1 (airship),,,20,14,0,NA,Y
5,5,5,10,17,1913,10:30,Germany,Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,0,NA,Y
6,6,6,3,5,1915,1:00,Belgium,Military - German Navy,,,Zeppelin L-8 (airship),,,41,21,0,NA,Y
7,7,7,9,3,1915,15:20,Germany,Military - German Navy,,,Zeppelin L-10 (airship),,,19,19,0,NA,Y
8,8,8,7,28,1916,,Bulgeria,Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,20,0,NA,Y
9,9,9,9,24,1916,1:00,England,Military - German Navy,,,Zeppelin L-32 (airship),,,22,22,0,NA,Y
10,10,10,10,1,1916,23:45,England,Military - German Navy,,,Zeppelin L-31 (airship),,,19,19,0,NA,Y
11,11,11,11,21,1916,,Germany,Military - German Army,,,Super Zeppelin (airship),,,28,27,0,NA,Y
12,12,12,11,28,1916,23:45,England,Military - German Navy,,,Zeppelin L-34 (airship),,,20,20,0,NA,Y
13,13,13,3,4,1917,,Belgium,Military - German Army,,,Airship,,,20,20,0,NA,Y
14,14,14,3,30,1917,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,23,0,NA,Y
15,15,15,5,14,1917,5:15,North Sea,Military - German Navy,,,Zeppelin L-22 (airship),,,21,21,0,NA,Y
16,16,16,6,14,1917,8:45,North Sea,Military - German Navy,,,Zeppelin L-43 (airship),,,24,24,0,NA,Y
17,17,17,8,21,1917,7:00,Off western Denmark,Military - German Navy,,,Zeppelin L-23 (airship),,,18,18,0,NA,Y
18,18,18,10,20,1917,7:45,France,Military - German Navy,,,Zeppelin L-44 (airship),,,18,18,0,NA,Y
19,19,19,4,7,1918,21:30,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,23,23,0,NA,Y
