"","X.2","X.1","X","Month","Day","Year","Time","Location","Operator","Flight..","Route","Type","Registration","cn.In","Aboard","Fatalities","Ground","Summary","CrashStatus"
"2",2,2,2,7,12,1912,"6:30","New Jersey","Military - U.S. Navy","","Test flight","Dirigible","","",5,5,0,NA,"Y"
"4",4,4,4,9,9,1913,"18:30","Over the North Sea","Military - German Navy","","","Zeppelin L-1 (airship)","","",20,14,0,NA,"Y"
"6",6,6,6,3,5,1915,"1:00","Belgium","Military - German Navy","","","Zeppelin L-8 (airship)","","",41,21,0,NA,"Y"
"8",8,8,8,7,28,1916,"","Bulgeria","Military - German Army","","","Schutte-Lanz S-L-10 (airship)","","",20,20,0,NA,"Y"
"10",10,10,10,10,1,1916,"23:45","England","Military - German Navy","","","Zeppelin L-31 (airship)","","",19,19,0,NA,"Y"
"12",12,12,12,11,28,1916,"23:45","England","Military - German Navy","","","Zeppelin L-34 (airship)","","",20,20,0,NA,"Y"
"14",14,14,14,3,30,1917,"","Off Northern Germany","Military - German Navy","","","Schutte-Lanz S-L-9 (airship)","","",23,23,0,NA,"Y"
"16",16,16,16,6,14,1917,"8:45","North Sea","Military - German Navy","","","Zeppelin L-43 (airship)","","",24,24,0,NA,"Y"
"18",18,18,18,10,20,1917,"7:45","France","Military - German Navy","","","Zeppelin L-44 (airship)","","",18,18,0,NA,"Y"
"20",20,20,20,5,10,1918,"","Germany","Military - German Navy","","","Zeppelin L-70 (airship)","","",22,22,0,NA,"Y"
"22",22,22,22,12,16,1918,"","New Jersey","US Aerial Mail Service","","","De Havilland DH-4","97","",1,1,0,NA,"Y"
"24",24,24,24,7,19,1919,"","Pennsylvania","US Aerial Mail Service","","","De Havilland DH-4","82","",1,1,0,NA,"Y"
"26",26,26,26,10,14,1919,"","Maryland","US Aerial Mail Service","","","Curtiss R-4LM","32","",1,1,0,NA,"Y"
"28",28,28,28,3,10,1920,"","Indiana","US Aerial Mail Service","","","De Havilland DH-4","65","",1,1,0,NA,"Y"
"30",30,30,30,4,10,1920,"","New Jersey","US Aerial Mail Service","","","Curtiss R-4LM","49","",2,1,0,NA,"Y"
"32",32,32,32,5,12,1920,"","Iowa","US Aerial Mail Service","","","De Havilland DH-4","79","",2,1,0,NA,"Y"
"34",34,34,34,8,16,1920,"","England","By Air","","","Armstrong-Whitworth F-K-8","G-EALW","",1,1,0,NA,"Y"
"36",36,36,36,9,1,1920,"","New Jersey","US Aerial Mail Service","","","Junkers JL-6","305","",2,2,0,NA,"Y"
"38",38,38,38,9,27,1920,"","Pennsylvania","US Aerial Mail Service","","","De Havilland DH-4","316","",1,1,0,NA,"Y"
"40",40,40,40,10,5,1920,"","Spain","Latecoere Airlines","","","Breguet 14","F-ALTA","20",2,2,0,NA,"Y"
"42",42,42,42,11,7,1920,"","Wyoming","US Aerial Mail Service","","","De Havilland DH-4","","178",1,1,0,NA,"Y"
"44",44,44,44,12,24,1920,"","Spain","Aeropostale","","","Breguet 14","F-ALBO","",1,1,0,NA,"Y"
"46",46,46,46,2,9,1921,"","Wisconsin","US Aerial Mail Service","","","Junkers F-13","301","",3,3,0,NA,"Y"
"48",48,48,48,2,22,1921,"","Nevada","US Aerial Mail Service","","","De Havilland DH-4","67","",1,1,0,NA,"Y"
"50",50,50,50,4,21,1921,"","NY","US Aerial Mail Service","","","De Havilland DH-4","160","",1,1,0,NA,"Y"
"52",52,52,52,5,17,1921,"","Wyoming","US Aerial Mail Service","","","","176","",1,1,0,NA,"Y"
"54",54,54,54,8,14,1921,"","France","Aeropostale","","","Breguet 14","F-ALBI","",2,2,0,NA,"Y"
"56",56,56,56,9,6,1921,"","France","Franco-Roumaine","","Varsovie - Strasbourg - Paris","Potez IX","F-ADCD","160",5,5,0,NA,"Y"
"58",58,58,58,1,14,1922,"","France","Handley Page Transport","","","Handley Page O/10","G-EATN","HP-43",5,5,5,NA,"Y"
"60",60,60,60,4,7,1922,"","France","Daimler Airways / Grands Express Aeriens","","","de Havilland DH-18 / Farman F-60 Goliath","G-EAOW/FGEAD","4",7,7,0,NA,"Y"
"62",62,62,62,4,13,1922,"","England","Vickers","","","Vickers Viking","G-EBBZ","",3,3,0,NA,"Y"
"64",64,64,64,6,3,1922,"","England","Cie des Messageries Aeriennes","","","Bleriot Spad 27","F-CMAY","1254",3,3,0,NA,"Y"
"66",66,66,66,9,7,1922,"","Indiana","US Aerial Mail Service","","","De Havilland DH-4","227","",1,1,0,NA,"Y"
"68",68,68,68,10,25,1922,"","Morocco","Grands Express Aeriens","","","Breguet 14","","",2,2,0,NA,"Y"
"70",70,70,70,1,10,1923,"","France","Amee de l'Air","","","Lioré-et-Olivier H-13","F-AEIB","",4,3,0,NA,"Y"
"72",72,72,72,1,18,1923,"","Wyoming","US Aerial Mail Service","","","De Havilland DH-4","223","",1,1,0,NA,"Y"
"74",74,74,74,5,14,1923,"","France","Grands Express Aeriens","","","Farman F-60 Goliath","F-AEBY","",6,6,0,NA,"Y"
"76",76,76,76,9,7,1923,"","Ohio","US Aerial Mail Service","","","De Havilland DH-4","283","",1,1,0,NA,"Y"
"78",78,78,78,11,18,1923,"","Russia","CCCP","","","Junkers F-13","D-257","",4,2,0,NA,"Y"
"80",80,80,80,12,23,1923,"2:30","Over the Mediterranean Sea","Military - French Navy","","Toulon - Algiers","Zeppelin Dixmunde (airship)","L-72","",52,52,0,NA,"Y"
"82",82,82,82,3,7,1924,"","Pennsylvania","US Aerial Mail Service","","","De Havilland DH-4","327","",1,1,0,NA,"Y"
"84",84,84,84,6,8,1924,"","Colombia","SCADTA","","","Junkers F-13","A16","",3,3,0,NA,"Y"
"86",86,86,86,11,6,1924,"","France","Grands Express Aeriens","","","","F-AFBD","",1,1,0,NA,"Y"
"88",88,88,88,12,24,1924,"","England","Imperial Airways","","","de Havilland DH-34B","G-EBBX","36",8,8,0,NA,"Y"
"90",90,90,90,4,25,1925,"","Spain","Grands Express Aeriens","","","Breguet 14","","",4,4,0,NA,"Y"
"92",92,92,92,6,25,1925,"","France","KLM Royal Dutch Airlines","","","Fokker (KLM)  F.III","H-NABM","KLM-2",4,4,0,NA,"Y"
"94",94,94,94,7,20,1925,"","Spain","Lignes Aeriennes Latecoere","","","Breguet 14","F-AFBI","",1,1,0,NA,"Y"
"96",96,96,96,9,3,1925,"5:30","Ohio","Military - U.S. Navy","","Lakehurst, NJ - S.t Louis, MO","Dirigible ZR-1 Shenandoah (airship)","ZR-1","",43,14,0,NA,"Y"
"98",98,98,98,11,14,1925,"","France","Air Union","","","Farman F-60 Goliath","F-AMFY","",2,2,0,NA,"Y"
"100",100,100,100,3,8,1926,"","Germany","Deutche Lufthansa","","","Junkers F-13","","",1,1,0,NA,"Y"
"102",102,102,102,7,3,1926,"","Czechoslovakia","Compagnie Internationale de Navigation Aérienne","","Paris - Prague","Caudron C-61","F-AFBT","5307",7,7,0,NA,"Y"
"104",104,104,104,7,24,1926,"","Germany","Deutsche Lufthansa","","","Junkers F-13","D-272","660",4,4,0,NA,"Y"
"106",106,106,106,9,26,1926,"","New York","","","New York - Paris","Sikorsky S-25","","",5,2,0,NA,"Y"
"108",108,108,108,10,21,1926,"13:15","English Channel","Imperial Airways","","","Handley Page W-10","G-EBMS","W10/3",12,0,0,NA,"Y"
"110",110,110,110,12,16,1926,"","Oregon","PacifiAir Transport","","","Ryan M-1","2","",1,1,0,NA,"Y"
"112",112,112,112,3,20,1927,"","Morocco","Grands Express Aeriens","","","Breguet 14","F-ALRA","",1,1,0,NA,"Y"
"114",114,114,114,4,15,1927,"","Idaho","Varney Air Lines","","","","","",1,1,0,NA,"Y"
"116",116,116,116,4,22,1927,"","Germany","Deutsche Lufthansa","","","Fokker FG III","D-729","1567",2,2,0,NA,"Y"
"118",118,118,118,7,27,1927,"","Germany","Deutsche Lufthansa","","","Junkers F-13","D-206","591",5,5,0,NA,"Y"
"120",120,120,120,9,3,1927,"","Connecticut","Colonial Air Transport","","","Fokker Universal","","",1,1,0,NA,"Y"
"122",122,122,122,9,22,1927,"","Germany","Deutsche Lufthansa","","","BFW M-18","D-1177","30",4,2,0,NA,"Y"
"124",124,124,124,10,6,1927,"","Mauritania","Lignes Aeriennes Latecoere","","","Breguet 14","F-AGBN","",2,2,0,NA,"Y"
"126",126,126,126,11,16,1927,"","France","CIDNA","","","Farman F-121 Jabiru","","",1,1,0,NA,"Y"
"128",128,128,128,11,29,1927,"","Indiana","National Air Transport","","","Douglas M-4","","",1,1,0,NA,"Y"
"130",130,130,130,12,28,1927,"","Spain","Aeropostale","","","Breguet 14","F-AFGS","",1,1,0,NA,"Y"
"132",132,132,132,1,8,1928,"","New York","Colonial Western Airlines","","Minola - Albany - Buffalo","Fairchild FC-2","","39",3,3,0,NA,"Y"
"134",134,134,134,1,22,1928,"","Spain","Aeropostale","","","Breguet 14","F-AHEQ","",2,2,0,NA,"Y"
"136",136,136,136,1,27,1928,"","Spain","Aeropostale","","","Breguet 14","F-AEEH","",1,1,0,NA,"Y"
"138",138,138,138,3,3,1928,"","Brazil","","","","","","",10,10,0,NA,"Y"
"140",140,140,140,4,17,1928,"","Wyoming","Boeing Air Transport","","","Boeing 40","","",2,1,0,NA,"Y"
"142",142,142,142,5,7,1928,"","","Aeropostale","","","Latecoere 26","F-AIMQ","",1,1,0,NA,"Y"
"144",144,144,144,5,26,1928,"","Germany","Deutsche Lufthansa","","","Junkers F-13","D-583","742",5,3,0,NA,"Y"
"146",146,146,146,6,22,1928,"","Kansas","National Air Transport","","Chicago - Dallas","Douglas M-4","","",1,1,0,NA,"Y"
"148",148,148,148,7,13,1928,"","England","Imperial Airways","","Testing","Vickers 74 Vulcan","G-EBLB","9",4,4,0,NA,"Y"
"150",150,150,150,8,25,1928,"","Canada","British Columbia Airways","","Victoria - Seattle","Ford 4-AT-B Tri Motor","G-CATX","4-AT-26",7,7,0,NA,"Y"
"152",152,152,152,9,4,1928,"","Australia","Qantas","","","de Havilland DH.50J","G-AUHI","",2,1,0,NA,"Y"
